URL|NAME
https://www.walmart.com/browse/home-audio-theater/3944_77622|Home Audio & Theater
https://www.walmart.com/shop/deals/all-home|All Home Deals
https://www.walmart.com/browse/household-essentials/batteries/1115193_1076905|Batteries
https://www.walmart.com/shop/back-to-college|Back to College
https://www.walmart.com/browse/office-supplies/markers-and-highlighters/1229749_9081741|Markers and Highlighters
https://www.walmart.com/browse/patio-garden/lump-charcoal-briquettes/5428_4089_9732116_5377022|Lump Charcoal & Briquettes
https://www.walmart.com/shop/summer-gathering?povid=GlobalNav_rWeb_SummerShop_Shopall|Summer Gathering
https://www.walmart.com/browse/patio-garden/lawn-mowers/5428_1102182_1225352|Lawn Mowers
https://www.walmart.com/browse/health/covid-testing-kits/976760_1005860_542089_3092061?povid=H&W_AllDepartment_Covid19TestingKits_Rweb_060223|COVID Testing Kits
https://www.walmart.com/browse/digestive-health/976760_1396434?povid=H&W_AllDepartment_DigestiveHealth_Rweb_060223|Digestive Health
https://www.walmart.com/browse/seasonal/personal-care-stock-up/1085632_9267270_7332448|Personal Care Stock Up
https://www.walmart.com/shop/deals/beauty-and-grooming|Beauty and Grooming Deals
https://www.walmart.com/browse/patio-garden/outdoor-cushions/5428_1102183_1225353|Outdoor Cushions
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470|Biographies & Memoirs Books
https://www.walmart.com/browse/music/classical-music-on-cd-or-vinyl/4104_4108|Classical Music on CD or Vinyl
https://www.walmart.com/browse/books/kobo-ereader-devices-accessories/3920_3252253|Kobo eReader Devices & Accessories
https://www.walmart.com/browse/toys/ride-ons/4171_133073_6774653|Ride-On Toys
https://www.walmart.com/shop/deals/food|Food Deals
https://www.walmart.com/browse/music/rock-music-on-cd-or-vinyl/4104_4118|Rock Music on CD or Vinyl
https://www.walmart.com/browse/household-essentials/paper-plastic/1115193_1073264|Paper & Plastic Household Essentials
https://www.walmart.com/browse/office-supplies/pens/1229749_1988510|Pens
https://www.walmart.com/browse/sports-outdoors/basketball/4125_4161_4165|Basketball
https://www.walmart.com/browse/home-improvement/water-filters-filtration-systems/1072864_6610571_1231153|Water Filters & Filtration Systems
https://www.walmart.com/browse/movies-tv-shows/tv-shows-blu-ray/4096_6003122_8068379|TV Shows on Blu-ray
https://www.walmart.com/shop/deals/video-games-and-media?cat_id=4096|Video Games and Media Deals
https://www.walmart.com/browse/crafting/fabric-apparel-crafting/1334134_6172404_3659773|Fabric & Apparel Crafting
https://www.walmart.com/browse/bags-accessories/5438_1045799?povid=FashionDepartment_BagsAccessories|Bags & Accessories
https://www.walmart.com/browse/household-essentials/kitchen/1115193_1071968|Kitchen Household Essentials
https://www.walmart.com/browse/musical-instruments/7796869|Musical Instruments
https://www.walmart.com/browse/patio-garden/gas-grills/5428_4089_7375787_7991811|Gas Grills
https://www.walmart.com/browse/patio-garden/lawn-care/5428_4091_6107689|Lawn Care
https://www.walmart.com/browse/live-plants/5428_6061364|Live Plants
https://www.walmart.com/shop/deals/all-home/arts-crafts-and-sewing|Arts, Crafts & Sewing Deals
https://www.walmart.com/browse/1085666_4820682_9411485|Walmart Family Mobile Phones
https://www.walmart.com/browse/office-supplies/school-arts-crafts/1229749_1086045_1718345|School Arts & Crafts
https://www.walmart.com/shop/fathers-day-fashion-gift-guide?povid=FashionDepartment_FDGG|Father's Day Fashion Gift Guide
https://www.walmart.com/browse/swimming-pools-spas/pool-chemicals/4171_14521_132873_8964332|Pool Chemicals
https://www.walmart.com/browse/beauty/mens-grooming/1085666_8845470|Men's Grooming
https://www.walmart.com/shop/deals/clearance?povid=rweb_browse_dept_savings_clearance|Clearance Deals
https://www.walmart.com/browse/patio-garden/soil/5428_4091_1229594_3290662|Soil
https://www.walmart.com/browse/patio-furniture/patio-sets/5428_91416_3013177|Patio Sets
https://www.walmart.com/browse/music/rap-hip-hop-on-cds-vinyl/4104_4117|Rap & Hip Hop on CDs & Vinyl
https://www.walmart.com/browse/household-essentials/air-fresheners/1115193_1025739|Air Fresheners
https://www.walmart.com/browse/books/magazines/3920_3298715|Magazines
https://www.walmart.com/browse/auto-tires/motorcycle-parts-accessories/91083_4530084|Motorcycle Parts & Accessories
https://www.walmart.com/shop/deals/sports-and-outdoors|Sports and Outdoors Deals
https://www.walmart.com/browse/books/literature-fiction-books/3920_582105|Literature & Fiction Books
https://www.walmart.com/browse/books/cookbooks-food-wine/3920_3036003|Cookbooks, Food & Wine Books
https://www.walmart.com/browse/arts-crafts-sewing/beading-jewelry-making/1334134_4533160|Beading & Jewelry Making
https://www.walmart.com/browse/patio-garden/outdoor-rugs/5428_1102183_133056|Outdoor Rugs
https://www.walmart.com/browse/paper/1229749_6562796|Paper
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031|Clothing > Baby Clothing
https://www.walmart.com/browse/beauty/mens-grooming/1085666_8845470|Beauty > Men's Grooming
https://www.walmart.com/browse/air-quality/dehumidifiers/1072864_133032_1231459_112918|Air Quality > Dehumidifiers
https://www.walmart.com/shop/summer-gathering|Summer Gathering
https://www.walmart.com/browse/notebooks-pads/1229749_4796182|Notebooks & Pads
https://www.walmart.com/browse/health/pain-relievers/976760_6972993?povid=H&W_AllDepartment_PainRelievers_Rweb_060223|Health > Pain Relievers
https://www.walmart.com/browse/auto-tires/car-safety-car-security/91083_1074766|Auto & Tires > Car Safety & Car Security
https://www.walmart.com/shop/deals/video-games-and-media?cat_id=4104|Deals > Video Games and Media
https://www.walmart.com/browse/movies-tv-shows/tv-shows-dvd/4096_6003122_3476135|Movies & TV Shows > TV Shows DVD
https://www.walmart.com/browse/home-audio-theater/3944_77622|Home Audio & Theater
https://www.walmart.com/browse/auto-tires/automotive-tools-equipment/91083_5941050|Auto & Tires > Automotive Tools & Equipment
https://www.walmart.com/browse/personal-care/feminine-care/1005862_1091866|Personal Care > Feminine Care
https://www.walmart.com/browse/bags-accessories/5438_1045799?povid=FashionDepartment_BagsAccessories|Bags & Accessories
https://www.walmart.com/shop/clothing-and-accessories/new-arrivals?povid=FashionDepartment_NewArrivals|Clothing & Accessories > New Arrivals
https://www.walmart.com/browse/kids-clothing/toddler-clothing/5438_7712430_2700757|Kids' Clothing > Toddler Clothing
https://www.walmart.com/browse/books/kobo-ereader-devices-accessories/3920_3252253|Books > Kobo eReader Devices & Accessories
https://www.walmart.com/browse/swimming-pools-spas/pool-chemicals/4171_14521_132873_8964332|Swimming Pools & Spas > Pool Chemicals
https://www.walmart.com/browse/video-games/video-game-accessories/2636_1229019|Video Games > Video Game Accessories
https://www.walmart.com/shop/deals/toys|Deals > Toys
https://www.walmart.com/browse/digestive-health/976760_1396434?povid=H&W_AllDepartment_DigestiveHealth_Rweb_060223|Digestive Health
https://www.walmart.com/shop/fathers-day-fashion-gift-guide?povid=FashionDepartment_FDGG|Father's Day Fashion Gift Guide
https://www.walmart.com/browse/patio-garden/soil/5428_4091_1229594_3290662|Patio & Garden > Soil
https://www.walmart.com/shop/deals/food|Deals > Food
https://www.walmart.com/browse/patio-garden/mulch/5428_4091_1229594_1229607|Patio & Garden > Mulch
https://www.walmart.com/browse/arts-crafts-sewing/beading-jewelry-making/1334134_4533160|Arts, Crafts & Sewing > Beading & Jewelry Making
https://www.walmart.com/browse/musical-instruments/7796869|Musical Instruments
https://www.walmart.com/browse/home-improvement/shower-heads/1072864_1045879_1230843_9581595|Home Improvement > Shower Heads
https://www.walmart.com/browse/health-and-medicine/cold-cough-and-flu/976760_4661388_6244277?povid=H&W_AllDepartment_ColdCoughandFlu_Rweb_060223|Health & Medicine > Cold, Cough & Flu
https://www.walmart.com/shop/deals/video-games-and-media?cat_id=3920|Deals > Video Games and Media
https://www.walmart.com/browse/patio-garden/gas-grills/5428_4089_7375787_7991811|Patio & Garden > Gas Grills
https://www.walmart.com/browse/books/magazines/3920_3298715|Books > Magazines
https://www.walmart.com/browse/patio-garden/outdoor-cushions/5428_1102183_1225353|Patio & Garden > Outdoor Cushions
https://www.walmart.com/shop/deals/home-improvement|Deals > Home Improvement
https://www.walmart.com/browse/blu-ray-movies/4096_616859|Blu-ray Movies
https://www.walmart.com/browse/arts-crafts-for-kids/4171_645779|Arts & Crafts for Kids
https://www.walmart.com/browse/auto-tires/vehicles/91083_5320758|Auto & Tires > Vehicles
https://www.walmart.com/shop/deals/sports-and-outdoors|Deals > Sports and Outdoors
https://www.walmart.com/browse/auto-tires/rv-parts-accessories/91083_2983678|Auto & Tires > RV Parts & Accessories
https://www.walmart.com/browse/personal-care/incontinence/1005862_1225655|Personal Care > Incontinence
https://www.walmart.com/shop/deals/pets|Deals > Pets
https://www.walmart.com/shop/deals/beauty-and-grooming|Deals > Beauty and Grooming
https://www.walmart.com/browse/sports-outdoors/golf-equipment/4125_4161_4152|Sports & Outdoors > Golf Equipment
https://www.walmart.com/browse/beauty/new-arrivals/1085666_4427759|Beauty > New Arrivals
https://www.walmart.com/browse/auto-tires/wheels-and-rims/91083_4375198|Auto & Tires > Wheels and Rims
https://www.walmart.com/browse/textbooks/3920_582377|Textbooks
https://www.walmart.com/browse/kids-health-shop/976760_3460237?povid=H&W_AllDepartment_KidsMedicine_Rweb_060223|Kids' Health Shop
https://www.walmart.com/browse/music/rap-hip-hop-on-cds-vinyl/4104_4117|Music > Rap & Hip-Hop on CDs & Vinyl
https://www.walmart.com/shop/deals/auto|Deals > Auto
https://www.walmart.com/browse/personal-care/sun-care/1005862_1001508|Personal Care > Sun Care
https://www.walmart.com/browse/home-audio-theater/3944_77622|Home Audio & Theater
https://www.walmart.com/browse/sports-outdoors/pickleball/4125_4161_6675878|Pickleball
https://www.walmart.com/browse/digestive-health/976760_1396434?povid=H&W_AllDepartment_DigestiveHealth_Rweb_060223|Digestive Health
https://www.walmart.com/browse/musical-instruments/7796869|Musical Instruments
https://www.walmart.com/browse/home-improvement/shower-heads/1072864_1045879_1230843_9581595|Shower Heads
https://www.walmart.com/browse/arts-entertainment-books/3920_582321|Arts, Entertainment & Books
https://www.walmart.com/browse/auto-tires/vehicles/91083_5320758|Vehicles
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031|Baby Clothing
https://www.walmart.com/shop/back-to-college|Back to College
https://www.walmart.com/browse/seasonal/mindful-living-shop/1085632_8154447|Mindful Living Shop
https://www.walmart.com/browse/1085666_4820682_9411485|Unknown (URL does not specify a category)
https://www.walmart.com/browse/portable-audio/3944_96469|Portable Audio
https://www.walmart.com/shop/deals/baby|Baby Deals
https://www.walmart.com/browse/personal-care/sun-care/1005862_1001508|Sun Care
https://www.walmart.com/browse/sports-outdoors/soccer/4125_4161_432196|Soccer
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler|Baby Clothing
https://www.walmart.com/browse/party-occasions/gift-wrap-supplies/2637_9402292|Gift Wrap Supplies
https://www.walmart.com/browse/electronics/cd-changers-turntables/3944_77622_8375901_96890_49600|CD Changers & Turntables
https://www.walmart.com/browse/office-supplies/planners/1229749_8412191|Planners
https://www.walmart.com/browse/auto-tires/car-safety-car-security/91083_1074766|Car Safety & Car Security
https://www.walmart.com/browse/seasonal/personal-care-stock-up/1085632_9267270_7332448|Personal Care Stock Up
https://www.walmart.com/browse/home-improvement/personal-protective-equipment/1072864_1031899_7124246|Personal Protective Equipment
https://www.walmart.com/browse/movies-tv-shows/tv-shows-blu-ray/4096_6003122_8068379|TV Shows on Blu-ray
https://www.walmart.com/browse/crafting/fabric-apparel-crafting/1334134_6172404_3659773|Fabric & Apparel Crafting
https://www.walmart.com/browse/textbooks/3920_582377|Textbooks
https://www.walmart.com/browse/health/pain-relievers/976760_6972993?povid=H&W_AllDepartment_PainRelievers_Rweb_060223|Pain Relievers
https://www.walmart.com/shop/deals/all-home|All Home Deals
https://www.walmart.com/browse/patio-garden/patio-conversation-sets/5428_91416_3013177_1225084|Patio Conversation Sets
https://www.walmart.com/browse/patio-garden/outdoor-cushions/5428_1102183_1225353|Outdoor Cushions
https://www.walmart.com/shop/summer-gathering|Summer Gathering
https://www.walmart.com/browse/household-essentials/bathroom/1115193_1071965|Bathroom (Household Essentials)
https://www.walmart.com/browse/patio-garden/gas-grills/5428_4089_7375787_7991811|Gas Grills